Power_Plant_ID,plant_name,fuel_type,capacity,capacity_factor_2025
Solar_66157,Red Tailed Hawk Solar LLC,Solar,350.0,0.249
Solar_66262,Cutlass Solar II,Solar,202.8,0.2352
Solar_66310,Cutlass Solar 1 LLC,Solar,110.9,0.1739
Wind_66321,"King Creek Wind Farm 1, LLC",Wind,184.0,0.3475
Wind_66323,"King Creek Wind Farm 2, LLC",Wind,209.0,0.3528
Solar_66324,BPL Files Solar,Solar,157.5,0.1629
Solar_66410,Grizzly Ridge Solar,Solar,100.0,0.1344
Other_66420,Five Wells Solar Center - Hybrid,Other,617.9,0.1335
Solar_66420,Five Wells Solar Center - Hybrid,Solar,617.9,0.1335
Solar_66471,Eiffel Solar Project,Solar,240.0,0.2728
Wind_66531,Pioneer Hutt Wind Energy,Wind,140.0,0.4969
Other_66540,Shamrock Wind,Other,323.9,0.3054
Wind_66540,Shamrock Wind,Wind,323.9,0.3054
Natural Gas_66604,Remy Jade Power Station,Natural Gas,484.0,0.1165
Solar_66688,"Bright Arrow Solar, LLC",Solar,403.6,0.1016
Other_66688,"Bright Arrow Solar, LLC",Other,403.6,0.1016
Other_66801,"Fence Post Solar Hybrid Project, LLC",Other,308.0,0.1941
Solar_66801,"Fence Post Solar Hybrid Project, LLC",Solar,308.0,0.1941
Solar_66821,Orion III Solar Project,Solar,250.0,0.252
Solar_66859,Orion I Solar Project,Solar,200.0,0.2546
Other_66872,"Estonian Solar Project, LLC",Other,304.5,0.161
Solar_66872,"Estonian Solar Project, LLC",Solar,304.5,0.161
Wind_66902,Roadrunner Wind Farm,Wind,256.0,0.4154
Solar_66903,"BT Hickerson Solar, LLC",Solar,310.0,0.0757
Wind_66919,La Casa Wind,Wind,150.0,0.0374
Solar_66941,Orion II Solar Project,Solar,250.0,0.2521
Solar_67006,Greasewood II LLC,Solar,306.0,0.2973
Solar_67019,"Copperhead Solar, LLC",Solar,250.0,0.1355
Other_67019,"Copperhead Solar, LLC",Other,250.0,0.1355
Solar_67023,Dileo Solar,Solar,71.4,0.2461
Solar_67024,Pitts Dudik Solar,Solar,49.6,0.234
Wind_67095,"Montgomery Ranch Wind Farm, LLC",Wind,202.5,0.3574
Other_67284,Ganado Solar,Other,221.0,0.1756
Solar_67284,Ganado Solar,Solar,221.0,0.1756
Solar_67424,Hopkins Energy LLC,Solar,250.0,0.2613
Wind_67425,"Century Oak Wind Project, LLC",Wind,151.5,0.3962
Wind_67443,Lane City Wind,Wind,202.5,0.0624
Solar_67580,Markum Solar Farm,Solar,161.0,0.2585
Wind_67601,Diversion Wind Energy LLC,Wind,200.6,0.4135
Wind_67700,Peyton Creek Wind Farm II,Wind,243.0,0.1422
Other_67762,Stampede Solar Hybrid,Other,328.1,0.1882
Solar_67762,Stampede Solar Hybrid,Solar,328.1,0.1882
Wind_67763,Hart Wind,Wind,166.4,0.236
Solar_67849,BT Signal Ranch,Solar,50.0,0.2275
Solar_67867,Liberty Hybrid Solar and Storage Project,Solar,67.2,0.0908
Wind_67875,Monte Cristo 1,Wind,238.5,0.0805
Solar_68145,Angelo Solar,Solar,195.0,0.3008
Solar_68180,Big Elm Solar,Solar,200.0,0.2747
Solar_68244,"Gransolar Texas One, LLC",Solar,50.0,0.2525
Solar_68246,BT Jungmann,Solar,40.0,0.2434
Solar_68458,"Roaring Springs, LLC",Solar,250.0,0.0419
Solar_68470,Azalea Springs Solar Park,Solar,180.0,0.0281
Solar_68474,Peacock Energy Project,Solar,150.0,0.2338
Solar_68483,"Diver Solar, LLC",Solar,225.0,0.0793
Solar_68537,Swift Air Solar I,Solar,145.0,0.2452
Solar_68587,Swift Air Solar II,Solar,100.0,0.0386
Solar_68588,Swift Air Solar III,Solar,100.0,0.0244
Solar_68838,Hecate Energy Outpost Solar LLC,Solar,515.0,0.115
Solar_68856,Tyson Nick,Solar,90.5,0.0478
Solar_69027,"Stoneridge Solar, LLC",Solar,100.0,0.0465
