episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
120,382064403.3129673,0.7129,0.7129,209494154.5324546,0.6789,0.6789,121537682.98429337,0.6874,0.6874,728416466.2499397,-0.0,396174170.4404687,0.4312
121,300397046.40137625,0.7147,0.7147,160082910.38701898,0.6725,0.6725,112403906.3591362,0.6833,0.6833,589453121.6091311,-0.0,351311145.1093713,0.4312
122,202367568.34578168,0.7125,0.7125,112252912.47567514,0.6694,0.6694,94947401.45126598,0.6812,0.6812,396666604.1028305,-0.0,300094678.7438092,0.4312
123,67202238.63487463,0.7104,0.7104,26972269.353279676,0.6677,0.6677,65820776.85056652,0.6739,0.6739,153873821.5210155,-0.0,189957585.5906479,0.4316
124,58433688.90131739,0.7116,0.7116,16242682.602433268,0.6654,0.6654,55117316.08745197,0.6719,0.6719,116567237.61602984,-0.0,167344514.55863428,0.4317
125,53760769.479908705,0.7132,0.7132,17876692.447317477,0.6658,0.6658,48139389.60566874,0.672,0.672,84733266.90072761,-0.0,139461824.12535092,0.4316
126,115386323.57133868,0.7181,0.7181,150652462.98661804,0.6681,0.6681,36378905.42661262,0.6654,0.6654,199477708.852697,-0.0,80460647.5941031,0.4312
127,193095353.92179006,0.7086,0.7086,276987050.93174076,0.6613,0.6613,27546370.892197773,0.654,0.654,336815051.8956308,-0.0,56590407.42703434,0.4312
128,240101524.46397114,0.7157,0.7157,368640217.78149164,0.6582,0.6582,21967347.052124772,0.6663,0.6663,398960333.71704286,-0.0,56028644.0000534,0.4312
129,290652980.97144437,0.7216,0.7216,452129662.3101714,0.6634,0.6634,21946898.28508422,0.6728,0.6728,434761577.81435734,-0.0,61475104.43080167,0.4312
